user_no;sessions;start;End;
1;189;0;189;
2;74;189;263;
3;51;263;314;
4;114;314;428;
5;143;428;571;
6;80;571;651;
7;684;651;1335;
8;87;1335;1422;
9;598;1422;2020;
10;148;2020;2168;
11;120;2168;2288;
12;94;2288;2382;
13;435;2382;2817;
14;79;2817;2896;
15;127;2896;3023;
16;132;3023;3155;
17;954;3155;4109;
18;931;4109;5040;
19;810;5040;5850;
20;131;5850;5981;
21;208;5981;6189;
22;143;6189;6332;
23;152;6332;6484;
24;607;6484;7091;
25;898;7091;7989;
26;158;7989;8147;
27;61;8147;8208;
28;164;8208;8372;
29;404;8372;8776;
30;72;8776;8848;
31;152;8848;9000;
32;409;9000;9409;
