Score,Probe,P_id,GSR_diff,HR_diff,video_id,valence_acc_video,arousal_acc_video
5.840490544,1,10,11.18,2.62,1,1,1
8.457784259,1,10,12.28,5.4,1,1,1
4.525731107,0,10,5.14,0.36,1,1,1
6.802155838,1,10,7.66,0.02,1,1,1
7.417322423,1,10,5.04,0.12,1,1,1
3.157375491,0,10,3.78,0.44,1,1,1
5.36224868,0,10,5.02,0.86,1,1,1
5.62438401,1,10,4.22,0.9,1,1,1
5.556145126,0,10,4.44,0.18,1,1,1
5.299630848,0,10,3.44,0.04,1,1,1
3.196308501,0,10,2.74,0.02,1,1,1
5.483052236,0,10,2.4,0.16,1,1,1
5.999298173,1,10,2.42,0.06,1,1,1
5.628831766,1,10,2.46,0.08,1,1,1
0.66068406,0,10,0.46,0.14,1,1,1
4.828121902,0,10,1.6,0.38,1,1,1
4.257631314,0,10,1.5,0.14,1,1,1
5.763703104,1,10,1.6,0,1,1,1
0.786542804,0,10,0.56,0.18,1,1,1
1.508793797,0,10,1.52,0.14,1,1,1
3.41947259,0,10,1.52,0.12,1,1,1
1.541318314,0,10,0.68,0.38,1,1,1
3.354707122,0,10,1.32,0.02,1,1,1
1.029932357,0,10,0.04,0.5,1,1,1
1.445368865,0,10,0.88,0.68,1,1,1
2.772337188,0,10,1.54,0.36,1,1,1
2.653326573,0,10,1.42,0.1,1,1,1
1.942523472,0,10,0.94,0.04,1,1,1
2.132830703,0,10,1.12,0.18,1,1,1
2.418183635,0,10,1.1,0.02,1,1,1
2.05095894,0,10,0.72,0.02,1,1,1
5.627335756,1,10,1.5,0.04,1,1,1
2.978859799,0,10,1.1,0.06,1,1,1
4.608902518,0,10,1.32,0.2,2,1,1
0.687581653,0,10,0.6,0.1,2,1,1
4.610813092,0,10,1.36,0.14,2,1,1
2.854751164,0,10,1.56,0.1,2,1,1
4.903779226,0,10,1.78,1.02,2,1,1
3.574988558,0,10,1.02,0.8,2,1,1
2.793611321,0,10,1.38,0.2,2,1,1
1.358969381,0,10,0.72,0.28,2,1,1
3.409410971,0,10,2.12,0.04,2,1,1
3.818243808,0,10,1.12,0.1,2,1,1
1.864395316,0,10,3.16,0.04,2,1,1
3.080727451,0,10,4.08,0.14,2,1,1
3.012164078,0,10,1.36,0.22,2,1,1
3.625655357,0,10,2.28,0.3,2,1,1
3.476527696,0,10,1.12,0.04,2,1,1
6.322865004,0,10,2.52,0.08,2,1,1
2.364138658,0,10,0.72,0.18,2,1,1
3.456723286,0,10,1.04,0.18,2,1,1
1.024182968,0,10,0.32,0.08,2,1,1
3.520120341,0,10,1.3,0.04,2,1,1
3.647501091,0,10,4.48,0.02,2,1,1
8.534284185,1,10,10.14,0.06,2,1,1
2.495930362,0,10,2.24,0.04,2,1,1
8.558770693,1,10,15,0.12,2,1,1
2.768723101,0,10,3.38,0.14,2,1,1
6.996130491,1,10,4.64,0.22,2,1,1
7.052710353,1,10,4.18,0.04,2,1,1
2.720868842,0,10,1.94,0.02,2,1,1
3.78587288,0,10,4.3,0.06,2,1,1
8.06E-09,0,10,0.04,0.04,2,1,1
4.592496185,0,10,2,0.34,2,1,1
5.323982684,0,10,2.32,0.16,2,1,1
4.546558923,0,10,2.24,0.02,3,0,0
5.747056679,1,10,2.58,0.02,3,0,0
2.378777746,0,10,5.88,0.08,3,0,0
2.99710089,0,10,6.12,0.04,3,0,0
5.598557781,1,10,4.34,0.06,3,0,0
5.060348157,1,10,3.12,0.14,3,0,0
4.88648699,0,10,4.2,0.04,3,0,0
1.967171874,0,10,0.72,0.46,3,0,0
5.01844636,0,10,2.64,0.16,3,0,0
