P_id,Frequency,start,End
1,241,0,241
2,238,241,479
3,240,479,719
4,240,719,959
5,237,959,1196
6,240,1196,1436
7,238,1436,1674
8,240,1674,1914
9,240,1914,2154
10,238,2154,2392
11,242,2392,2634
12,238,2634,2872
13,238,2872,3110
14,238,3110,3348
15,240,3348,3588
16,240,3588,3828
17,240,3828,4068
18,241,4068,4309
19,240,4309,4549
20,240,4549,4789
21,239,4789,5028
22,238,5028,5266
23,239,5266,5505
24,240,5505,5745
25,241,5745,5986
26,238,5986,6224
27,238,6224,6462
28,237,6462,6699
29,238,6699,6937
30,240,6937,7177
31,238,7177,7415
32,237,7415,7652
33,240,7652,7892
34,238,7892,8130
35,238,8130,8368
36,240,8368,8608
