subject,Score,valence_acc_video,arousal_acc_video,Valence,Arousal,GSR_Diff,BVP_Diff,RSP_Diff,SKT_Diff,EMG_ZYGO_Diff,EMG_CORU_Diff,EMG_TRAP_Diff,Probe,index,avg_score,median_score,Norm_score,Chg_per_V,Chg_per_A,ValenceDiff,ArousalDiff,video,Last1,Last2,Last3,Last4,Last5
10,3.688616482,1,1,5,5,1.652,1.22,2.333,0.025,0.123,1.479,27.393,0,0,3.688616482,3.688616482,0.368861648,0.737723296,0.737723296,0,0.209,1,0,0,0,0,0
10,0.863256654,1,1,5,5.209,1.001,0.388,1.006,0.015,0,0.246,17.454,0,1,0.863256654,0.863256654,0.084558395,0.172651331,0.165724065,0.176,1.102,1,0,0,0,0,0
10,0.395150248,1,1,4.824,6.102,0.454,0.62,0.668,0.007,0.206,0.164,4.722,0,2,0.395150248,0.395150248,0.036166049,0.081913401,0.064757497,0.13,0.961,1,0,0,0,0,0
10,0.317582782,1,1,4.87,6.17,0.343,0.048,0.368,0.007,0.042,0.041,13.594,0,3,0.317582782,0.317582782,0.028766556,0.06521207,0.051472088,0.046,0.068,1,0,0,0,0,0
10,0.704248196,1,1,4.87,6.17,0.65,0.378,1.762,0.017,0.041,0.698,25.38,0,4,0.704248196,0.704248196,0.063790597,0.144609486,0.114140712,0,0,1,0,0,0,0,0
10,0.28883913,1,1,4.87,6.17,0.599,1.017,0.9,0.031,0.042,1.109,6.161,0,5,0.28883913,0.28883913,0.026162965,0.059309883,0.046813473,0.666,0.137,1,0,0,0,0,0
10,0.401177791,1,1,5.536,6.033,0.422,0.639,0.852,0.021,0.041,0.328,9.281,0,6,0.401177791,0.401177791,0.034676964,0.072467087,0.06649723,0.564,0.639,1,0,0,0,0,0
10,0.222193575,1,1,5.434,5.531,0.398,0.678,0.794,0.014,0.082,1.479,15.359,0,7,0.222193575,0.222193575,0.020263892,0.040889506,0.040172406,0.182,0.397,1,0,0,0,0,0
10,0.669767047,1,1,5.718,5.636,0.658,1.152,0.648,0.021,0,0.739,9.815,0,8,0.669767047,0.401177791,0.058989523,0.117133097,0.118837304,0.274,0.247,1,0,0,0,0,0
10,0.58558518,1,1,5.708,5.284,0.615,1.695,0.126,0.014,0.206,0.739,2.423,0,9,0.813641709,0.35865326,0.074021262,0.102590256,0.110822328,0.748,0.216,1,0,0,0,0,0
10,1.315249004,1,1,6.466,5.852,0.521,0.281,0.513,0.014,0.903,1.437,8.131,0,10,0.576304961,0.35865326,0.046785595,0.203409991,0.224752051,0.785,1.649,1,0,0,0,0,0
10,1.363866027,1,1,6.493,6.933,0.6,2.692,0.562,0.011,0.698,1.15,10.637,0,11,0.626365898,0.35865326,0.046653203,0.210051752,0.196720904,0.027,1.09,1,0,0,0,0,0
10,0.812078698,1,1,6.493,6.942,0.631,0.997,0.474,0.018,0,0.042,1.972,0,12,0.668058743,0.446639538,0.049725251,0.125069875,0.11698051,0,0.009,1,0,0,0,0,0
10,0.922695773,1,1,6.493,6.942,0.686,1.394,0.426,0.014,0.37,1.273,20.699,0,13,0.728570042,0.447761866,0.054229255,0.142106233,0.132914977,0.046,0.06,1,0,0,0,0,0
10,0.508121741,1,1,6.539,6.882,0.721,0.329,0.213,0,0,0.493,6.941,0,14,0.708957397,0.467127726,0.052824484,0.077706338,0.073833441,0.143,0.317,1,0,0,0,0,0
10,0.118424887,1,1,6.636,6.625,0.646,0.243,0.329,0.01,0.123,1.396,4.476,0,15,0.691915972,0.467127726,0.052176757,0.017845824,0.017875455,0.166,1.676,1,0,0,0,0,0
10,0.78470375,1,1,6.705,5.206,0.69,1.627,0.087,0.01,0.78,0.082,6.448,0,16,0.730268568,0.367553904,0.061310433,0.117032625,0.150730647,1.333,1.671,1,0,0,0,0,0
10,0.239964489,1,1,5.303,4.954,0.702,0.668,0.213,0.021,0.329,0.616,19.425,0,17,0.73204566,0.367553904,0.071370348,0.045250705,0.048438532,0.796,0.008,1,0,0,0,0,0
